Temperature_C,Pressure_bara
28.4851,78.6055
28.2581,78.7515
27.8500,78.6177
26.8500,77.8843
25.8500,76.9713
24.8500,75.9887
24.3559,75.4895
23.8500,74.9726
22.8500,73.9403
21.8500,72.9015
20.8500,71.8625
19.8500,70.8274
18.8500,69.7990
17.8500,68.7796
16.8500,67.7707
15.8500,66.7737
14.8500,65.7893
14.2912,65.2450
13.8500,64.8183
12.8500,63.8615
11.8500,62.9191
10.8500,61.9917
9.8500,61.0794
8.8500,60.1825
7.8500,59.3013
6.8500,58.4357
5.8500,57.5859
4.8500,56.7521
3.8500,55.9341
2.8500,55.1320
1.8500,54.3459
1.4333,54.0230
0.8500,53.5757
-0.1500,52.8214
-1.1500,52.0828
-2.1500,51.3601
-3.1500,50.6530
-4.1500,49.9615
-5.1500,49.2856
-6.1500,48.6251
-7.1500,47.9799
-8.1500,47.3499
-9.1500,46.7351
-10.1500,46.1352
-11.1500,45.5502
-12.1500,44.9800
-12.6569,44.6966
-13.1500,44.4245
-14.1500,43.8834
-15.1500,43.3567
-16.1500,42.8442
-17.1500,42.3459
-18.1500,41.8615
-19.1500,41.3910
-20.1500,40.9341
-21.1500,40.4908
-22.1500,40.0609
-23.1500,39.6442
-24.1500,39.2407
-25.1500,38.8502
-26.1500,38.4724
-27.1500,38.1074
-27.6088,37.9441
-28.1500,37.7548
-29.1500,37.4147
-30.1500,37.0868
-31.1500,36.7710
-32.1500,36.4671
-33.1500,36.1750
-34.1500,35.8946
-35.1500,35.6257
-36.1500,35.3681
-37.1500,35.1217
-38.1500,34.8863
-39.1500,34.6619
-40.1500,34.4482
-41.1500,34.2451
-42.1500,34.0525
-43.1500,33.8702
-44.0223,33.7195
-44.1500,33.6981
-45.1500,33.5360
-46.1500,33.3837
-47.1500,33.2413
-48.1500,33.1084
-49.1500,32.9850
