Temperature_C,Pressure_bara
-5.655799999999996430e+01,5.179643433349450987e+00
-5.431350769223124075e+01,5.704143325046850066e+00
-5.206901538446251720e+01,6.267727608852235122e+00
-4.982452307669379366e+01,6.872188280748377842e+00
-4.758003076892507011e+01,7.519340768530667241e+00
-4.533553846115634656e+01,8.211023300570120753e+00
-4.309104615338762301e+01,8.949096461131537339e+00
-4.084655384561889946e+01,9.735442945003798698e+00
-3.860206153785017591e+01,1.057196751997808271e+01
-3.635756923008145236e+01,1.146059719962351231e+01
-3.411307692231272881e+01,1.240328162488487784e+01
-3.186858461454400526e+01,1.340199365725784730e+01
-2.962409230677528171e+01,1.445873020305011458e+01
-2.737959999900655816e+01,1.557551331622101998e+01
-2.513510769123783462e+01,1.675439165843413036e+01
-2.289061538346911107e+01,1.799744241786395094e+01
-2.064612307570038752e+01,1.930677379446643727e+01
-1.840163076793166397e+01,2.068452814812197715e+01
-1.615713846016291200e+01,2.213288588495019837e+01
-1.391264615239418845e+01,2.365407013882674292e+01
-1.166815384462546490e+01,2.525035230272459330e+01
-9.423661536856741350e+00,2.692405848844320815e+01
-7.179169229088017801e+00,2.867757705151127823e+01
-4.934676921319294252e+00,3.051336741770003869e+01
-2.690184613550570703e+00,3.243397059617500133e+01
-4.456923057818471534e-01,3.444202196662757842e+01
1.798800001986876396e+00,3.654026717575678873e+01
4.043292309755599945e+00,3.873158223595336835e+01
6.287784617524323494e+00,4.101899911632181528e+01
8.532276925293047043e+00,4.340573819900530594e+01
1.077676923306177059e+01,4.589524908394832181e+01
1.302126154083049414e+01,4.849126209533849874e+01
1.526575384859921769e+01,5.119785636691812414e+01
1.751024615636794124e+01,5.401955989768630673e+01
1.975473846413666479e+01,5.696151578094668366e+01
2.199923077190538834e+01,6.002977445730792994e+01
2.424372307967411189e+01,6.323179104703503839e+01
2.648821538744283544e+01,6.657726340398173193e+01
2.873270769521155898e+01,7.008020629776274291e+01
3.097720000298028253e+01,7.377127810884184100e+01
3.097720000298073728e+01,7.377127810884260839e+01
2.873270769521201373e+01,7.008020629776346766e+01
2.648821538744329018e+01,6.657726340398242826e+01
2.424372307967456663e+01,6.323179104703569919e+01
2.199923077190584308e+01,6.002977445730857653e+01
1.975473846413711954e+01,5.696151578094730183e+01
1.751024615636839599e+01,5.401955989768689648e+01
1.526575384859967244e+01,5.119785636691868547e+01
1.302126154083094889e+01,4.849126209533903875e+01
1.077676923306222534e+01,4.589524908394883340e+01
8.532276925293501790e+00,4.340573819900579622e+01
6.287784617524778241e+00,4.101899911632228424e+01
4.043292309756054692e+00,3.873158223595381600e+01
1.798800001987331143e+00,3.654026717575722216e+01
-4.456923057813924061e-01,3.444202196662799764e+01
-2.690184613550115955e+00,3.243397059617539924e+01
-4.934676921318839504e+00,3.051336741770042238e+01
-7.179169229087563053e+00,2.867757705151164060e+01
-9.423661536856286602e+00,2.692405848844355987e+01
-1.166815384462501015e+01,2.525035230272492370e+01
-1.391264615239373370e+01,2.365407013882705911e+01
-1.615713846016245725e+01,2.213288588495050035e+01
-1.840163076793118080e+01,2.068452814812227913e+01
-2.064612307569990435e+01,1.930677379446672504e+01
-2.289061538346862790e+01,1.799744241786422450e+01
-2.513510769123735145e+01,1.675439165843438971e+01
-2.737959999900607500e+01,1.557551331622126689e+01
-2.962409230677479854e+01,1.445873020305034906e+01
-3.186858461454352209e+01,1.340199365725806935e+01
-3.411307692231224564e+01,1.240328162488508568e+01
-3.635756923008096919e+01,1.146059719962371126e+01
-3.860206153784969274e+01,1.057196751997826922e+01
-4.084655384561841629e+01,9.735442945003972781e+00
-4.309104615338713984e+01,8.949096461131702540e+00
-4.533553846115586339e+01,8.211023300570275296e+00
-4.758003076892458694e+01,7.519340768530811125e+00
-4.982452307669331049e+01,6.872188280748512845e+00
-5.206901538446203404e+01,6.267727608852362131e+00
-5.431350769223075758e+01,5.704143325046968194e+00
-5.655799999999948113e+01,5.179643433349558457e+00
