Temperature_C,Pressure_bara
-49.1500,7.4454
-48.8386,7.5398
-48.1500,7.7517
-47.1500,8.0674
-46.1500,8.3928
-45.1500,8.7280
-44.1500,9.0733
-44.1095,9.0875
-43.1500,9.4289
-42.1500,9.7949
-41.1500,10.1715
-40.1500,10.5589
-39.1610,10.9530
-39.1500,10.9574
-38.1500,11.3671
-37.1500,11.7883
-36.1500,12.2211
-35.1500,12.6657
-34.1500,13.1224
-33.9799,13.2013
-33.1500,13.5914
-32.1500,14.0728
-31.1500,14.5670
-30.1500,15.0740
-29.1500,15.5941
-28.5525,15.9112
-28.1500,16.1276
-27.1500,16.6746
-26.1500,17.2354
-25.1500,17.8102
-24.1500,18.3992
-23.1500,19.0026
-22.8649,19.1774
-22.1500,19.6208
-21.1500,20.2538
-20.1500,20.9020
-19.1500,21.5656
-18.1500,22.2448
-17.1500,22.9398
-16.9029,23.1140
-16.1500,23.6510
-15.1500,24.3785
-14.1500,25.1226
-13.1500,25.8835
-12.1500,26.6616
-11.1500,27.4570
-10.6532,27.8588
-10.1500,28.2701
-9.1500,29.1011
-8.1500,29.9503
-7.1500,30.8180
-6.1500,31.7044
-5.1500,32.6098
-4.1500,33.5346
-4.1041,33.5775
-3.1500,34.4790
-2.1500,35.4434
-1.1500,36.4281
-0.1500,37.4334
0.8500,38.4596
1.8500,39.5072
2.7514,40.4701
2.8500,40.5764
3.8500,41.6677
4.8500,42.7815
5.8500,43.9182
6.8500,45.0782
7.8500,46.2620
8.8500,47.4702
9.8500,48.7032
9.9097,48.7776
10.8500,49.9617
11.8500,51.2462
12.8500,52.5576
13.8500,53.8966
14.8500,55.2641
15.8500,56.6612
16.8500,58.0890
17.8500,59.5490
18.8500,61.0430
19.0762,61.3859
19.8500,62.5732
20.8500,64.1424
21.8500,65.7547
22.8500,67.4156
23.8500,69.1342
24.8500,70.9260
25.8500,72.8247
26.2124,73.5543
26.8500,74.9434
27.3579,76.5704
27.2814,76.7681
