Temperature_C,Pressure_bara
27.2814,76.7681
27.2041,76.8057
26.8500,76.6457
25.8500,75.7379
25.5385,75.4113
24.8500,74.6574
23.8500,73.5171
22.8500,72.3502
21.8500,71.1718
20.8500,69.9904
19.8500,68.8113
18.8500,67.6380
17.8500,66.4728
16.8500,65.3176
15.8500,64.1736
14.8500,63.0420
13.8500,61.9234
13.4499,61.4797
12.8500,60.8185
11.8500,59.7277
10.8500,58.6514
9.8500,57.5899
8.8500,56.5433
7.8500,55.5119
6.8500,54.4957
5.8500,53.4949
4.8500,52.5095
3.8500,51.5394
2.8500,50.5848
2.6290,50.3758
1.8500,49.6455
0.8500,48.7216
-0.1500,47.8129
-1.1500,46.9195
-2.1500,46.0413
-3.1500,45.1781
-4.1500,44.3298
-5.1500,43.4965
-6.1500,42.6779
-7.1500,41.8739
-8.1500,41.0845
-8.1813,41.0600
-9.1500,40.3095
-10.1500,39.5487
-11.1500,38.8021
-12.1500,38.0695
-13.1500,37.3507
-14.1500,36.6456
-15.1500,35.9542
-16.1500,35.2761
-17.1500,34.6113
-18.1500,33.9596
-18.3600,33.8244
-19.1500,33.3209
-20.1500,32.6950
-21.1500,32.0817
-22.1500,31.4810
-23.1500,30.8925
-24.1500,30.3163
-25.1500,29.7520
-26.1500,29.1996
-27.1500,28.6589
-28.1500,28.1297
-29.1500,27.6118
-30.1500,27.1051
-31.1500,26.6094
-31.2802,26.5457
-32.1500,26.1246
-33.1500,25.6505
-34.1500,25.1869
-35.1500,24.7336
-36.1500,24.2906
-37.1500,23.8575
-38.1500,23.4343
-39.1500,23.0208
-40.1500,22.6167
-41.1500,22.2221
-42.1500,21.8366
-42.5315,21.6919
-43.1500,21.4601
-44.1500,21.0925
-45.1500,20.7335
-46.1500,20.3830
-47.1500,20.0409
-48.1500,19.7070
-49.1500,19.3811
