Temperature_C,Pressure_bara
1.000000000004774847e-02,6.116547710699586811e-03
9.598076923076632738e+00,1.195510406026984405e-02
1.918615384615321773e+01,2.223951652009011418e-02
2.877423076922980272e+01,3.957123728096188092e-02
3.836230769230638771e+01,6.763947907009947025e-02
4.795038461538297270e+01,1.114917134002447741e-01
5.753846153845955769e+01,1.778150272570464818e-01
6.712653846153614268e+01,2.752164313807321516e-01
7.671461538461272767e+01,4.144904027232931276e-01
8.630269230768931266e+01,6.088632261949332714e-01
9.589076923076589765e+01,8.742057981563592373e-01
1.054788461538424826e+02,1.229209116264850410e+00
1.150669230769190676e+02,1.695519361108840606e+00
1.246549999999956526e+02,2.297831994873130057e+00
1.342430769230722376e+02,3.063946483054109660e+00
1.438311538461488226e+02,4.024785012509030757e+00
1.534192307692254076e+02,5.214379937069153925e+00
1.630073076923019926e+02,6.669835678788644806e+00
1.725953846153785776e+02,8.431271513885738145e+00
1.821834615384551626e+02,1.054175214915170855e+01
1.917715384615317475e+02,1.304721332817534041e+01
2.013596153846083325e+02,1.599638999656790084e+01
2.109476923076849175e+02,1.944075492669444927e+01
2.205357692307615025e+02,2.343447630935213866e+01
2.301238461538380875e+02,2.803440384057907764e+01
2.397119230769146725e+02,3.330009446933082984e+01
2.492999999999913143e+02,3.929389151809564140e+01
2.588880769230679562e+02,4.608107483885584088e+01
2.684761538461445980e+02,5.373010572994173373e+01
2.780642307692212398e+02,6.231299947511701731e+01
2.876523076922978817e+02,7.190587233451223881e+01
2.972403846153745235e+02,8.258973235404474167e+01
3.068284615384511653e+02,9.445162219835356154e+01
3.164165384615278072e+02,1.075862938069034982e+02
3.260046153846044490e+02,1.220987346709614769e+02
3.355926923076810908e+02,1.381081388819904703e+02
3.451807692307577327e+02,1.557543562388324858e+02
3.547688461538343745e+02,1.752082154826817373e+02
3.643569230769110163e+02,1.966923020427732069e+02
3.739449999999873171e+02,2.206373270664892345e+02
3.643569230769106753e+02,1.966923020427724396e+02
3.547688461538340334e+02,1.752082154826809699e+02
3.451807692307573916e+02,1.557543562388318321e+02
3.355926923076807498e+02,1.381081388819898450e+02
3.260046153846041079e+02,1.220987346709609369e+02
3.164165384615274661e+02,1.075862938069030150e+02
3.068284615384508243e+02,9.445162219835310680e+01
2.972403846153741824e+02,8.258973235404434377e+01
2.876523076922975406e+02,7.190587233451186933e+01
2.780642307692208988e+02,6.231299947511670467e+01
2.684761538461442569e+02,5.373010572994144951e+01
2.588880769230676151e+02,4.608107483885558509e+01
2.492999999999909733e+02,3.929389151809541403e+01
2.397119230769143314e+02,3.330009446933063089e+01
2.301238461538377464e+02,2.803440384057890000e+01
2.205357692307611615e+02,2.343447630935198589e+01
2.109476923076845765e+02,1.944075492669431782e+01
2.013596153846079915e+02,1.599638999656778715e+01
1.917715384615314065e+02,1.304721332817524448e+01
1.821834615384548215e+02,1.054175214915162684e+01
1.725953846153782365e+02,8.431271513885670643e+00
1.630073076923016515e+02,6.669835678788588851e+00
1.534192307692250665e+02,5.214379937069105964e+00
1.438311538461484815e+02,4.024785012508992565e+00
1.342430769230718965e+02,3.063946483054079017e+00
1.246549999999953116e+02,2.297831994873105632e+00
1.150669230769187266e+02,1.695519361108821954e+00
1.054788461538421416e+02,1.229209116264835977e+00
9.589076923076555659e+01,8.742057981563481350e-01
8.630269230768897160e+01,6.088632261949252777e-01
7.671461538461238661e+01,4.144904027232873545e-01
6.712653846153580162e+01,2.752164313807280993e-01
5.753846153845921663e+01,1.778150272570436230e-01
4.795038461538263164e+01,1.114917134002428450e-01
3.836230769230604665e+01,6.763947907009822125e-02
2.877423076922946166e+01,3.957123728096109683e-02
1.918615384615287667e+01,2.223951652008964233e-02
9.598076923076291678e+00,1.195510406026956997e-02
