Temperature_C,Pressure_bara
-1.824558999999999855e+02,1.169606411514718391e-01
-1.798951589063772190e+02,1.610468667983625257e-01
-1.773344178127545092e+02,2.177005916161955934e-01
-1.747736767191317426e+02,2.893537886386581270e-01
-1.722129356255090329e+02,3.786690649522034269e-01
-1.696521945318862663e+02,4.885289371760380694e-01
-1.670914534382635566e+02,6.220228832468358560e-01
-1.645307123446407900e+02,7.824328296450407949e-01
-1.619699712510180802e+02,9.732176955900848636e-01
-1.594092301573953137e+02,1.197997556362427662e+00
-1.568484890637726039e+02,1.460537916244453172e+00
-1.542877479701498373e+02,1.764734505459987224e+00
-1.517270068765271276e+02,2.114598941033840163e+00
-1.491662657829043610e+02,2.514245523136612981e+00
-1.466055246892816513e+02,2.967879379255082384e+00
-1.440447835956588847e+02,3.479786120347140077e+00
-1.414840425020361465e+02,4.054323137124321796e+00
-1.389233014084134084e+02,4.695912641408526156e+00
-1.363625603147906702e+02,5.409036547635792225e+00
-1.338018192211679320e+02,6.198233293695169621e+00
-1.312410781275451939e+02,7.068096719554104013e+00
-1.286803370339224557e+02,8.023277158567390543e+00
-1.261195959402997175e+02,9.068484953384690073e+00
-1.235588548466769794e+02,1.020849669136500104e+01
-1.209981137530542412e+02,1.144816457175501334e+01
-1.184373726594315031e+02,1.279242948146043979e+01
-1.158766315658087649e+02,1.424633858788934049e+01
-1.133158904721860267e+02,1.581506858743503230e+01
-1.107551493785632886e+02,1.750395622823970143e+01
-1.081944082849405504e+02,1.931853844561432254e+01
-1.056336671913178122e+02,2.126460557434360510e+01
-1.030729260976950741e+02,2.334827296339699387e+01
-1.005121850040723359e+02,2.557607960354109267e+01
-9.795144391044959775e+01,2.795512859448825083e+01
-9.539070281682685959e+01,3.049329689442220470e+01
-9.282996172320412143e+01,3.319956939540177387e+01
-9.026922062958138326e+01,3.608461920627497932e+01
-8.770847953595864510e+01,3.916194977105219266e+01
-8.514773844233590694e+01,4.245072088096281249e+01
-8.258699734871316878e+01,4.599055290762701276e+01
-8.258699734871302667e+01,4.599055290762721881e+01
-8.514773844233576483e+01,4.245072088096300433e+01
-8.770847953595850299e+01,3.916194977105236319e+01
-9.026922062958124116e+01,3.608461920627514274e+01
-9.282996172320397932e+01,3.319956939540193019e+01
-9.539070281682671748e+01,3.049329689442235036e+01
-9.795144391044945564e+01,2.795512859448838583e+01
-1.005121850040721938e+02,2.557607960354122412e+01
-1.030729260976949320e+02,2.334827296339711111e+01
-1.056336671913176701e+02,2.126460557434371523e+01
-1.081944082849404083e+02,1.931853844561442557e+01
-1.107551493785631465e+02,1.750395622823980091e+01
-1.133158904721858846e+02,1.581506858743512289e+01
-1.158766315658086228e+02,1.424633858788942398e+01
-1.184373726594313609e+02,1.279242948146051795e+01
-1.209981137530540991e+02,1.144816457175508617e+01
-1.235588548466768373e+02,1.020849669136506677e+01
-1.261195959402995754e+02,9.068484953384750469e+00
-1.286803370339223136e+02,8.023277158567445611e+00
-1.312410781275450518e+02,7.068096719554153751e+00
-1.338018192211677899e+02,6.198233293695214918e+00
-1.363625603147905281e+02,5.409036547635834857e+00
-1.389233014084132662e+02,4.695912641408563459e+00
-1.414840425020360044e+02,4.054323137124356435e+00
-1.440447835956587426e+02,3.479786120347169831e+00
-1.466055246892814807e+02,2.967879379255112138e+00
-1.491662657829042189e+02,2.514245523136639182e+00
-1.517270068765269571e+02,2.114598941033863255e+00
-1.542877479701496952e+02,1.764734505460006764e+00
-1.568484890637724334e+02,1.460537916244470713e+00
-1.594092301573951715e+02,1.197997556362442539e+00
-1.619699712510179097e+02,9.732176955900974091e-01
-1.645307123446406479e+02,7.824328296450515641e-01
-1.670914534382633860e+02,6.220228832468448488e-01
-1.696521945318861242e+02,4.885289371760454524e-01
-1.722129356255088624e+02,3.786690649522095331e-01
-1.747736767191316005e+02,2.893537886386630120e-01
-1.773344178127543387e+02,2.177005916161994514e-01
-1.798951589063770768e+02,1.610468667983655788e-01
-1.824558999999998150e+02,1.169606411514741984e-01
